MP ID	MP Label	MeSH ID	MeSH Label	HP ID	HP Label	Mapping Source	Notes
MP:0002459	abnormal B cell physiology						
MP:0013509	abnormal CD4-negative NK T cell number						
MP:0002206	abnormal CNS synaptic transmission						
MP:0020173	abnormal IgE level	D007073	Immunoglobulin E			Manual	
MP:0008036	abnormal NK T cell morphology	D055611	Natural Killer T-Cells			LOOM	
MP:0008038	abnormal NK T cell number						
MP:0003901	abnormal PR interval			HP:0031593	Abnormal PR interval	LOOM	
MP:0003898	abnormal QRS complex			HP:0025074	Abnormal QRS complex	LOOM	
MP:0003899	abnormal QT interval			HP:0031547	Abnormal QT interval	LOOM	
MP:0004156	abnormal QT variability						
MP:0010504	abnormal RR interval						
MP:0003897	abnormal ST segment			HP:0012249	Abnormal ST segment	LOOM	
MP:0008037	abnormal T cell morphology	D013601	T-Lymphocytes	HP:0002843	Abnormal T cell morphology	LOOM	
MP:0006387	abnormal T cell number						
MP:0002420	abnormal adaptive immunity	D056704	Adaptive Immunity			LOOM	
MP:0005452	abnormal adipose tissue amount						
MP:0000003	abnormal adipose tissue morphology	D000273	Adipose Tissue	HP:0009124	Abnormal adipose tissue morphology	LOOM	
MP:0002061	abnormal aggression-related behavior	D000374	Aggression			Manual	
MP:0012762	abnormal alpha-beta T cell morphology			HP:0030333	Abnormal alpha-beta T cell morphology	LOOM	
MP:0012763	abnormal alpha-beta T cell number						
MP:0005332	abnormal amino acid level	D000596	Amino Acids				
MP:0005193	abnormal anterior eye segment morphology	D000869	Anterior Eye Segment	HP:0004328	Abnormal anterior eye segment morphology	LOOM	
MP:0005194	abnormal anterior uvea morphology						
MP:0001362	abnormal anxiety-related response	D001007	Anxiety			Manual	
MP:0000272	abnormal aorta morphology	D001011	Aorta	HP:0001679	Abnormal aortic morphology	LOOM	
MP:0009250	abnormal appendicular skeleton morphology			HP:0011844	Abnormal appendicular skeleton morphology	LOOM	
MP:0002191	abnormal artery morphology	D001158	Arteries			LOOM	
MP:0002062	abnormal associative learning	D001245	Association Learning			Manual	
MP:0006141	abnormal atrioventricular node conduction						
MP:0004738	abnormal auditory brainstem response	D016057	Evoked Potentials, Auditory, Brain Stem			LOOM	
MP:0000572	abnormal autopod morphology						
MP:0002114	abnormal axial skeleton morphology			HP:0009121	Abnormal axial skeleton morphology	LOOM	
MP:0012442	abnormal basophil cell number						
MP:0002422	abnormal basophil morphology	D001491	Basophils	HP:0001912	Abnormal basophil morphology	LOOM	
MP:0004924	abnormal behavior	D001519	Behavior			LOOM	
MP:0013657	abnormal blood cell morphology	D001773	Blood Cells			Manual	
MP:0012382	abnormal blood cell physiology						
MP:0002128	abnormal blood circulation	D001775	Blood Circulation			LOOM	
MP:0009642	abnormal blood homeostasis						
MP:0005265	abnormal blood urea nitrogen level	D001806	Blood Urea Nitrogen			Manual	
MP:0008820	abnormal blood uric acid level						
MP:0001614	abnormal blood vessel morphology	D001808	Blood Vessels	HP:0033353	Abnormal blood vessel morphology	LOOM	
MP:0005451	abnormal body composition	D001823	Body Composition			LOOM	
MP:0001256	abnormal body length						
MP:0003956	abnormal body size	D049628	Body Size			LOOM	
MP:0001259	abnormal body weight	D001835	Body Weight			LOOM	
MP:0002398	abnormal bone marrow cell morphology/development	D001854	Bone Marrow Cells			Manual	
MP:0010122	abnormal bone mineral content	D015519	Bone Density			LOOM	
MP:0010119	abnormal bone mineral density	D015519	Bone Density			Manual	
MP:0003795	abnormal bone structure			HP:0003330	Abnormal bone structure	LOOM	
MP:0002152	abnormal brain morphology	D001921	Brain			LOOM	
MP:0000771	abnormal brain size						
MP:0012775	abnormal brain weight						
MP:0001951	abnormal breathing pattern						
MP:0004231	abnormal calcium ion homeostasis						
MP:0020879	abnormal calcium level	D002118	Calcium			Manual	
MP:0002972	abnormal cardiac muscle contractility						
MP:0002127	abnormal cardiovascular system morphology	D002319	Cardiovascular System			LOOM	
MP:0001544	abnormal cardiovascular system physiology			HP:0011025	Abnormal cardiovascular system physiology	LOOM	
MP:0002421	abnormal cell-mediated immunity						
MP:0012007	abnormal chloride level	D002712	Chlorides				
MP:0005278	abnormal cholesterol homeostasis			HP:0003107	Abnormal circulating cholesterol concentration	LOOM	
MP:0003947	abnormal cholesterol level	D002784	Cholesterol			Manual	
